"occ1990dd","occ1990dd_title","pseudo","rank_pseudo"
658," Furniture/wood finishers, other prec. wood workers",-5.07861517178485,270
588,"Concrete and cement workers",-5.08069942809704,271
789,"Painting and decoration occupations",-5.12445533270947,272
889," Laborers, freight, stock and material handlers, n.e.c.",-5.13021760434223,273
357,"Messengers",-5.13310066427218,274
348,"Telephone operators",-5.15834002598408,275
853,"Excavating and loading machine operators",-5.32950997837529,276
459,"Recreation facility attendants",-5.40138273595935,277
745,"Shoemaking machine operators",-5.42456982344313,278
579," Painters, construction and maintenance",-5.43076022923549,279
808,"Bus drivers",-5.46132901127446,280
315,"Typists",-5.54411441563557,281
356," Mail clerks, outside of post office",-5.56386514620415,282
573,"Drywall installers",-5.57006925795717,283
878,"Machine feeders and offbearers",-5.57413442555704,284
277," Door-to-door sales, street sales, and news vendors",-5.7223123044691,285
783," Welders, solderers, and metal cutters",-5.80699177655415,286
866," Helpers, surveyors",-5.8098332495296,287
779," Machine operators, n.e.c.",-5.81373253632512,288
763,"Food roasting and baking machine operators",-5.82931267951998,289
365,"Stock and inventory clerks",-5.93758679010297,290
467,"Motion picture projectionists",-6.21486074773471,291
617,"Other mining occupations",-6.25144026637011,292
885,"Garage and service station related occupations",-6.28477458822834,293
727,"Sawing machine operators and sawyers",-6.30208843330189,294
457,"Barbers",-6.55334674129665,295
813,"Parking lot attendants",-6.6346261345916,296
346,"Mail and paper handlers",-6.83656894393665,297
873,"Production helpers",-6.87136762578431,298
723,"Metal platers",-6.8726326216442,299
355,"Mail carriers for postal service",-6.89678947326643,300
875,"Garbage and recyclable material collectors",-7.14360730106422,301
444,"Miscellanious food preparation and service workers",-7.39639423151473,302
744,"Textile sewing machine operators",-7.6333890684781,303
583,"Paperhangers",-7.79118283214337,304
719,"Molders and casting machine operators",-7.79791280773022,305
283," Sales demonstrators, promoters, and models",-7.8323950920449,306
435,"Waiters and waitresses",-7.88715678530993,307
462,"Ushers",-7.88944772139167,308
408,"Laundry and dry cleaning workers",-8.09956748587963,309
888,"Packers and packagers by hand",-8.11008123992283,310
739," Knitters, loopers, and toppers textile operatives",-8.26438374984975,311
764," Washing, cleaning, and pickling machine operators",-8.34188138556167,312
686,"Butchers and meat cutters",-8.34556752864087,313
9998,"pseudo_low",-8.41193238002145,314
425,"Crossing guards",-8.43543230378557,315
405," Housekeepers, maids, butlers, and cleaners",-9.23571883399308,316
669," Shoemakers, other prec. apparel and fabric workers",-9.6531278779973,317
453,"Janitors",-9.70456745353863,318
439,"Food preparation workers",-10.5571842904751,319
747,"Clothing pressing machine operators",-10.9380414870221,320
887,"Vehicle washers and equipment cleaners",-12.0940987336125,321
9999,"pseudo_know_nothing",-16.8510381673027,322
