"occ1990dd","occ1990dd_title","pctile_complexind","descriptor_sum","descriptor_mean","descriptor_zero_count"
13," Managers and specialists in marketing, advert., PR",0.812625885009766,125.088000535965,3.57394287245614,0
37,"Management support occupations",0.799309074878693,125.64000082016,3.58971430914743,0
33," Purchasing managers, agents, and buyers, n.e.c.",0.799044251441956,125.094999730587,3.57414284944534,0
417," Fire fighting, fire prevention, and fire inspection occ",0.795349061489105,125.49000030756,3.585428580216,0
23,"Accountants and auditors",0.78976982831955,125.64333319664,3.589809519904,0
174,"Social workers",0.778459787368774,124.389999806881,3.55399999448231,0
224,"Chemical technicians",0.775659382343292,126.359999537468,3.61028570107051,0
214,"Engineering technicians",0.774634778499603,125.484444022179,3.5852698292051,0
255,"Financial service sales occupations",0.766071617603302,124.766666322947,3.56476189494133,0
508,"Aircraft mechanics",0.76409250497818,124.769999265671,3.56485712187631,0
163,"Vocational and educational counselors",0.762110352516174,123.032000780106,3.51520002228873,0
218," Surveryors, cartographers, mapping scientists/techs",0.760643780231476,124.476001024246,3.55645717212132,0
98,"Respiratory therapists",0.758894085884094,124.990000247955,3.5711428642273,0
176,"Clergy and religious workers",0.758501291275024,121.939999699593,3.48399999141693,0
25,"Other financial specialists",0.752514719963074,123.002000212669,3.51434286321913,0
235," Technicians, n.e.c.",0.748371124267578,122.433749914169,3.49810714040484,0
99,"Occupational therapists",0.744203925132751,121.070000886917,3.45914288248335,0
105," Therapists, n.e.c.",0.744180262088776,121.405999422073,3.46874284063067,0
308,"Computer and peripheral equipment operators",0.743946552276611,121.670000314713,3.4762857232775,0
165,"Archivists and curators",0.740328669548035,121.533332467079,3.47238092763083,0
157,"Secondary school teachers",0.740188419818878,121.339999735355,3.46685713529587,0
208," Health technologists and technicians, n.e.c.",0.733848631381989,121.049230754375,3.45854945012501,0
223,"Biological technicians",0.732833385467529,121.573333144188,3.47352380411966,0
203,"Clinical laboratory technologies and technicians",0.732358455657959,119.928000330925,3.42651429516929,0
158,"Special education teachers",0.731264054775238,119.326667249203,3.40933334997722,0
418," Police and detectives, public service",0.731094658374786,118.973333954811,3.3992381129946,0
159," Teachers, n.e.c.",0.721664488315582,118.05125027895,3.37289286511285,0
615,"Explosives workers",0.719646692276001,118.910000681877,3.39742859091078,1
207,"Licensed practical nurses",0.719456613063812,118.930000782013,3.39800002234323,0
373," Material recording, sched., prod., plan., expediting cl",0.719203889369965,117.482499301434,3.35664283718382,0
695,"Power plant operators",0.715559482574463,117.710000693798,3.36314287696566,0
156,"Primary school teachers",0.715056657791138,117.453332483768,3.35580949953624,0
29," Buyers, wholesale and retail trade",0.705725491046906,116.329999685287,3.3237142767225,0
243,"Sales supervisors and proprietors",0.703937232494354,116.564999103546,3.3304285458156,0
35,"Construction inspectors",0.679773807525635,116.290000796318,3.32257145132337,0
187," Actors, directors, and producers",0.67894583940506,115.31333360076,3.29466667430741,0
834,"Miscellanious transportation occupations",0.678208887577057,117.909999728203,3.36885713509151,0
233,"Programmers of numerically controlled machine tools",0.678124248981476,116.369999885559,3.3248571395874,0
164,"Librarians",0.67799586057663,115.05999982357,3.28742856638772,0
558,"Supervisors of construction work",0.677519798278809,117.040000796318,3.34400002275194,0
206,"Radiologic technologists and technicians",0.662828207015991,115.403999567032,3.29725713048662,0
18,"Managers of properties and real estate",0.66233104467392,114.489999294281,3.27114283697946,0
254,"Real estate sales occupations",0.660330772399902,114.274999797344,3.26499999420983,0
28,"Purchasing agents and buyers of farm products",0.653829216957092,115.630000472069,3.30371429920197,0
24,"Insurance underwriters",0.653479993343353,114.829999923706,3.28085714067732,0
303,"Office supervisors",0.653347849845886,114.370000123978,3.2677142892565,1
217,"Drafters",0.646362006664276,113.372000336647,3.23920000961849,0
195,"Editors and reporters",0.641386330127716,111.508000344038,3.18594286697251,0
183,"Writers and authors",0.639497935771942,112.120000422001,3.20342858348574,0
523,"Repairers of industrial electrical equipment",0.639136672019958,113.923334360123,3.25495241028922,0
253,"Insurance sales occupations",0.636313199996948,113.099999308586,3.23142855167389,0
256,"Advertising and related sales jobs",0.628106713294983,111.79000043869,3.19400001253401,0
225,"Other science technicians",0.626931488513947,113.280000209808,3.23657143456595,0
185,"Designers",0.626071214675903,111.905714571476,3.1973061306136,0
534," Heating, air conditioning, and refrigeration mechanics",0.623018503189087,112.600000083447,3.21714285952704,0
177,"Welfare service workers",0.620351850986481,112.130000323057,3.20371429494449,0
470," Supervisors of personal service jobs, n.e.c",0.620248794555664,110.949999630451,3.16999998944146,0
376," Customer service reps, invest., adjusters, excl. insur.",0.619934737682343,111.020000100136,3.17200000286102,0
533," Repairers of electrical equipment, n.e.c.",0.618190586566925,111.61000007391,3.18885714496885,0
628,"Production supervisors or foremen",0.617012798786163,109.290000081062,3.12257143088749,0
544,"Millwrights",0.582689225673676,110.289999842644,3.15114285264696,0
634,"Tool and die makers and die setters",0.580202400684357,110.89000082016,3.16828573771885,0
829,"Ship crews and marine engineers",0.57638418674469,109.97666656971,3.14219047342028,0
699,"Other plant and system operators",0.574887096881866,109.942499876022,3.14121428217207,0
